order_id,order_date,product,category,quantity,price,total_amount
1001,2024-01-03,Shampoo,Personal Care,2,120,240
1002,2024-01-04,Soap,Personal Care,5,40,200
1003,2024-01-05,Facewash,Personal Care,1,150,150
1004,2024-01-06,Hair Oil,Personal Care,1,200,200
1005,2024-01-07,T-Shirt,Fashion,1,350,350
1006,2024-01-08,Wireless Mouse,Electronics,1,600,600
1007,2024-01-09,Mobile Case,Accessories,2,150,300
1008,2024-01-10,Handwash,Personal Care,3,130,390
1009,2024-01-11,Lotion,Personal Care,1,220,220
1010,2024-01-12,Toothpaste,Personal Care,2,60,120
1011,2024-01-13,Body Wash,Personal Care,1,250,250
1012,2024-01-15,Shoes,Fashion,1,1200,1200
1013,2024-01-16,Charger,Electronics,1,450,450
1014,2024-01-17,Earphones,Electronics,1,700,700
1015,2024-01-18,Notebook,Stationery,4,30,120
1016,2024-01-19,Pen Set,Stationery,3,25,75
1017,2024-01-20,Backpack,Fashion,1,900,900
1018,2024-01-21,Perfume,Beauty,1,800,800
1019,2024-01-22,Face Cream,Beauty,1,350,350
1020,2024-01-23,Protein Bar,Food,5,50,250
1021,2024-01-24,Tea Powder,Food,2,180,360
1022,2024-01-25,Coffee Powder,Food,1,250,250
1023,2024-01-26,Handbag,Fashion,1,1500,1500
1024,2024-01-27,Sanitizer,Personal Care,3,90,270
1025,2024-01-28,Keyboard,Electronics,1,900,900
